date,adjclose
2024-06-24,530.188599
2024-06-25,532.230286
2024-06-26,532.894653
2024-06-27,533.734680
2024-06-28,531.634399
2024-07-01,532.728516
2024-07-02,536.313538
2024-07-03,538.706970
2024-07-05,541.813416
2024-07-08,542.438660
2024-07-09,542.966064
2024-07-10,548.338928
2024-07-11,543.610901
2024-07-12,547.039612
2024-07-15,548.544128
2024-07-16,551.797058
2024-07-17,544.060181
2024-07-18,539.879150
2024-07-19,536.294006
2024-07-22,541.823242
2024-07-23,540.973389
2024-07-24,528.713562
2024-07-25,525.958801
2024-07-26,531.849365
2024-07-29,532.161804
2024-07-30,529.465698
2024-07-31,538.071838
2024-08-01,530.452332
2024-08-02,520.576172
2024-08-05,505.415161
2024-08-06,510.074738
2024-08-07,506.665497
2024-08-08,518.378296
2024-08-09,520.664124
2024-08-12,520.937683
2024-08-13,529.504761
2024-08-14,531.175293
2024-08-15,540.279724
2024-08-16,541.491150
2024-08-19,546.668457
2024-08-20,545.779541
2024-08-21,547.655151
2024-08-22,543.356750
2024-08-23,549.130249
2024-08-26,547.821167
2024-08-27,548.573364
2024-08-28,545.388794
2024-08-29,545.437622
2024-08-30,550.644287
2024-09-03,539.312622
2024-09-04,538.208801
2024-09-05,536.899719
2024-09-06,527.863647
2024-09-09,533.773804
2024-09-10,536.098694
2024-09-11,541.598511
2024-09-12,546.160583
2024-09-13,549.013062
2024-09-16,549.823853
2024-09-17,550.048401
2024-09-18,548.417114
2024-09-19,557.775513
2024-09-20,556.811340
2024-09-23,558.202820
2024-09-24,559.799866
2024-09-25,558.565308
2024-09-26,560.779846
2024-09-27,559.966492
2024-09-30,562.210449
2024-10-01,557.173889
2024-10-02,557.409119
2024-10-03,556.389954
2024-10-04,561.446167
2024-10-07,556.370361
2024-10-08,561.632324
2024-10-09,565.522400
2024-10-10,564.532715
2024-10-11,567.913269
2024-10-14,572.557922
2024-10-15,568.109253
2024-10-16,570.578552
2024-10-17,570.627563
2024-10-18,572.822449
2024-10-21,571.881775
2024-10-22,571.577942
2024-10-23,566.355286
2024-10-24,567.580200
2024-10-25,567.384155
2024-10-28,569.138123
2024-10-29,570.059204
2024-10-30,568.334656
2024-10-31,557.193542
2024-11-01,559.545166
2024-11-04,558.339905
2024-11-05,565.091370
2024-11-06,579.142639
2024-11-07,583.620483
2024-11-08,586.148743
2024-11-11,586.707214
2024-11-12,584.884644
2024-11-13,585.168762
2024-11-14,581.406128
2024-11-15,573.959106
2024-11-18,576.310730
2024-11-19,578.417542
2024-11-20,578.613525
2024-11-21,581.719604
2024-11-22,583.522644
2024-11-25,585.502014
2024-11-26,588.559143
2024-11-27,586.775818
2024-11-29,590.420837
2024-12-02,591.479187
2024-12-03,591.753479
2024-12-04,595.427979
2024-12-05,594.448120
2024-12-06,595.575012
2024-12-09,592.508118
2024-12-10,590.665833
2024-12-11,595.232117
2024-12-12,592.165039
2024-12-13,592.047485
2024-12-16,594.575562
2024-12-17,592.125793
2024-12-18,574.478394
2024-12-19,574.302002
2024-12-20,581.199951
2024-12-23,584.680359
2024-12-24,591.179077
2024-12-26,591.218384
2024-12-27,584.995056
2024-12-30,578.319214
2024-12-31,576.215332
2025-01-02,574.799500
2025-01-03,581.986511
2025-01-06,585.338989
2025-01-07,578.722290
2025-01-08,579.567810
2025-01-10,570.719299
2025-01-13,571.604187
2025-01-14,572.390747
2025-01-15,582.802551
2025-01-16,581.681763
2025-01-17,587.521790
2025-01-21,592.899658
2025-01-22,596.232666
2025-01-23,599.486877
2025-01-24,597.736816
2025-01-27,589.281494
2025-01-28,594.344910
2025-01-29,591.680481
2025-01-30,594.856140
2025-01-31,591.690308
2025-02-03,587.708557
2025-02-04,591.651062
2025-02-05,594.049866
2025-02-06,596.114624
2025-02-07,590.658020
2025-02-10,594.669312
2025-02-11,595.121643
2025-02-12,593.204346
2025-02-13,599.467224
2025-02-14,599.437683
2025-02-18,601.197632
2025-02-19,602.613342
2025-02-20,600.106323
2025-02-21,589.842041
2025-02-24,587.157959
2025-02-25,584.237854
2025-02-26,584.532898
2025-02-27,575.202576
2025-02-28,584.178894
2025-03-03,573.944153
2025-03-04,567.150452
2025-03-05,573.246094
2025-03-06,563.070435
2025-03-07,566.226257
2025-03-10,551.144409
2025-03-11,546.562866
2025-03-12,549.463318
2025-03-13,542.138611
2025-03-14,553.336914
2025-03-17,557.603943
2025-03-18,551.577087
2025-03-19,557.584229
2025-03-20,555.971863
2025-03-21,556.155273
2025-03-24,566.115234
2025-03-25,567.476074
2025-03-26,560.701355
2025-03-27,559.212280
2025-03-28,547.950623
2025-03-31,551.628906
2025-04-01,553.187012
